Período;TimeKey;RegiaoID;InstituicaoID;Atendimentos_Vermelha;Atendimentos_Laranja;Atendimentos_Amarela;Atendimentos_Verde;Atendimentos_Azul;Atendimentos_Branca;Atendimentos_SemTriagem;TotalAtendimentos;Médicos;MedicosInternos;Enfermeiros;Despesa;NumDoentes;CustoMedio
2026-05;20260501;3;32;162;6470;19826;24710;406;23;0;51597;0;0;0;0.0;0;0.0
2026-05;20260501;3;36;200;6070;25167;14223;556;2035;210;48251;382;187;1062;0.0;0;0.0
2026-05;20260501;2;37;57;1862;17868;7278;138;823;22;28026;172;112;622;0.0;0;0.0
2026-05;20260501;3;39;216;6520;25465;8557;645;542;74;41945;294;84;892;0.0;0;0.0
2026-05;20260501;2;41;264;9275;42349;9832;956;3823;172;66499;550;288;1181;0.0;0;0.0
2026-05;20260501;1;53;147;5365;17465;5145;1146;70;3918;29338;0;0;0;0.0;0;0.0
2026-05;20260501;3;71;266;5780;30352;20616;377;2215;147;59606;271;94;1008;0.0;0;0.0
2026-05;20260501;2;35;68;2045;14416;10377;458;767;33;28131;140;58;564;0.0;0;0.0
2026-05;20260501;2;42;403;6533;36447;17047;760;1148;258;62338;504;213;1374;0.0;0;0.0
2026-05;20260501;2;49;235;7185;38722;18018;1966;10;4692;66136;0;0;0;0.0;0;0.0
2026-05;20260501;3;52;115;4430;21380;10001;613;95;6682;36634;432;233;688;0.0;0;0.0
2026-05;20260501;1;55;283;5843;34048;9241;1236;926;3218;51577;1144;708;2197;0.0;0;0.0
2026-05;20260501;4;60;136;5430;16752;15073;794;1598;120;39783;320;122;878;0.0;0;0.0
2026-05;20260501;4;62;106;3383;16092;14160;361;1057;53;35159;146;28;627;0.0;0;0.0
2026-05;20260501;4;69;94;2848;15276;15312;613;1005;0;35148;0;0;0;0.0;0;0.0
2026-05;20260501;3;74;196;7468;30379;17388;628;588;2807;56647;256;98;898;0.0;0;0.0
2026-05;20260501;2;48;606;14508;55576;23809;912;1909;227;97320;1396;829;3847;0.0;0;0.0
2026-05;20260501;1;50;287;9593;46524;9236;401;75;64;66116;621;328;1201;0.0;0;0.0
2026-05;20260501;3;51;150;4151;20545;23706;1198;1560;3582;51310;945;568;1824;0.0;0;0.0
2026-05;20260501;3;65;163;4686;24173;20238;599;1886;396;51745;282;148;863;0.0;0;0.0
2026-05;20260501;1;75;410;11444;40877;16885;891;2800;4675;73307;706;309;1582;0.0;0;0.0
2026-05;20260501;1;46;358;7588;41827;22150;279;3040;414;75242;853;469;1690;0.0;0;0.0
2026-05;20260501;3;54;421;10036;33604;24750;1014;1055;1372;70880;1086;748;2359;0.0;0;0.0
2026-05;20260501;1;58;194;8002;54713;21840;502;2588;4;87839;586;295;1640;0.0;0;0.0
2026-05;20260501;1;59;217;5881;44286;15862;557;1712;578;68515;0;0;0;0.0;0;0.0
2026-05;20260501;5;61;470;17357;65619;52161;2360;3838;1352;141805;729;451;2331;0.0;0;0.0
2026-05;20260501;1;63;102;4785;24092;23129;645;4727;233;57480;566;285;1288;0.0;0;0.0
2026-05;20260501;4;66;125;4916;24531;14514;504;548;69;45138;0;0;0;0.0;0;0.0
2026-05;20260501;2;67;60;2419;14336;6669;60;403;61;23947;184;93;391;0.0;0;0.0
2026-05;20260501;1;72;141;3679;28409;6090;285;1598;95;40202;0;0;0;0.0;0;0.0
2026-05;20260501;2;38;133;3664;20855;14758;753;514;42;40677;0;0;0;0.0;0;0.0
2026-05;20260501;1;40;149;2805;14608;8166;451;6;78;26185;261;99;498;0.0;0;0.0
2026-05;20260501;3;43;323;7151;29652;18606;921;1943;2147;58596;643;336;1333;0.0;0;0.0
2026-05;20260501;3;44;329;11163;30139;42638;1462;2088;997;87819;735;409;1604;0.0;0;0.0
2026-05;20260501;1;45;61;2133;11063;11625;591;231;6;25704;196;88;436;0.0;0;0.0
2026-05;20260501;1;57;497;10092;39152;14284;2507;0;38373;66532;0;0;0;0.0;0;0.0
2026-05;20260501;3;56;367;6921;51965;27540;1780;1555;1641;90128;1451;748;3112;0.0;0;0.0
2026-05;20260501;1;64;254;7406;34603;16274;397;1249;13;60183;0;0;0;0.0;0;0.0
2026-05;20260501;3;68;131;3575;23455;9315;481;1292;214;38249;279;129;631;0.0;0;0.0
2026-05;20260501;1;70;143;4683;28191;8916;286;990;0;43209;362;151;781;0.0;0;0.0
2026-04;20260401;3;52;90;3477;16777;7848;481;75;5244;28748;432;234;688;0.0;0;0.0
2026-04;20260401;1;53;118;4262;13721;3977;951;46;3106;23075;0;0;0;0.0;0;0.0
2026-04;20260401;1;64;213;5971;27321;12754;323;1020;10;47602;0;0;0;0.0;0;0.0
2026-04;20260401;3;68;101;2845;18348;7170;364;1163;180;29991;276;132;629;0.0;0;0.0
2026-04;20260401;1;75;339;9451;33512;14241;860;2225;4064;60628;707;311;1533;0.0;0;0.0
2026-04;20260401;2;35;58;1632;11388;8211;377;612;25;22278;142;58;564;0.0;0;0.0
2026-04;20260401;3;43;260;5810;23797;14628;716;1620;884;46831;646;343;1328;0.0;0;0.0
2026-04;20260401;1;45;55;1707;8712;9075;431;188;4;20168;197;88;435;0.0;0;0.0
2026-04;20260401;1;50;218;7638;36249;7312;311;60;49;51788;618;331;1201;0.0;0;0.0
2026-04;20260401;3;51;128;3373;16415;18638;927;1253;2821;40734;947;579;1829;0.0;0;0.0
2026-04;20260401;1;55;224;4580;26260;7206;945;684;3054;39899;1146;713;2190;0.0;0;0.0
2026-04;20260401;1;59;179;4703;35082;12235;428;1353;274;53980;0;0;0;0.0;0;0.0
2026-04;20260401;4;60;110;4292;13180;11826;604;1266;97;31278;325;125;879;0.0;0;0.0
2026-04;20260401;2;67;50;1910;11165;5126;51;307;48;18609;184;94;394;0.0;0;0.0
2026-04;20260401;3;71;226;4618;23761;16280;295;1722;116;46902;271;94;1006;0.0;0;0.0
2026-04;20260401;3;36;160;4874;19610;11297;430;1608;206;37979;383;188;1063;0.0;0;0.0
2026-04;20260401;2;37;43;1464;13905;5664;99;640;16;21815;171;113;617;0.0;0;0.0
2026-04;20260401;2;38;111;2954;16685;11572;603;426;37;32351;0;0;0;0.0;0;0.0
2026-04;20260401;1;40;122;2247;11320;6693;350;4;60;20736;260;100;498;0.0;0;0.0
2026-04;20260401;2;41;215;7522;33276;7477;737;3020;132;52247;548;290;1180;0.0;0;0.0
2026-04;20260401;5;61;375;13592;51185;40909;1857;2974;1019;110892;728;459;2338;0.0;0;0.0
2026-04;20260401;4;66;98;3869;19210;11310;408;435;58;35330;0;0;0;0.0;0;0.0
2026-04;20260401;4;69;79;2246;11954;12054;474;779;0;27586;0;0;0;0.0;0;0.0
2026-04;20260401;1;70;120;3735;22171;7046;228;752;0;34052;362;154;776;0.0;0;0.0
2026-04;20260401;1;72;111;2947;22713;4866;237;1308;81;32182;0;0;0;0.0;0;0.0
2026-04;20260401;2;42;331;5279;28633;13336;591;946;208;49116;507;216;1373;0.0;0;0.0
2026-04;20260401;3;44;259;8944;23737;33190;1166;1629;901;68925;740;410;1612;0.0;0;0.0
2026-04;20260401;2;48;475;11502;43701;18656;710;1530;183;76574;1402;854;3845;0.0;0;0.0
2026-04;20260401;3;54;323;8034;26534;19239;798;833;1122;55761;1094;762;2359;0.0;0;0.0
2026-04;20260401;1;57;399;8072;30869;11009;1968;0;30243;52317;0;0;0;0.0;0;0.0
2026-04;20260401;1;58;155;6464;43307;17090;400;2071;3;69487;588;296;1644;0.0;0;0.0
2026-04;20260401;4;62;81;2710;12706;10953;267;851;41;27568;146;31;626;0.0;0;0.0
2026-04;20260401;3;65;142;3790;19172;15952;482;1535;329;41073;284;153;860;0.0;0;0.0
2026-04;20260401;3;32;138;5101;15549;19443;315;23;0;40569;0;0;0;0.0;0;0.0
2026-04;20260401;3;39;181;5246;19947;6608;499;413;74;32894;284;97;897;0.0;0;0.0
2026-04;20260401;1;46;283;5927;31825;16962;226;2363;322;57586;856;473;1700;0.0;0;0.0
2026-04;20260401;2;49;194;6530;26684;16188;1761;9;4537;51366;0;0;0;0.0;0;0.0
