Período;Região;Instituição;Vermelha;Laranja;Amarela;Verde;Azul;Branca;SemTriagem;TotalAtendimentos
2026-05;Região de Saúde LVT;Hospital de Cascais, PPP;162;6470;19826;24710;406;23;0;51597
2026-05;Região de Saúde LVT;Unidade Local de Saúde da Arrábida, EPE;200;6070;25167;14223;556;2035;210;48251
2026-05;Região de Saúde do Centro;Unidade Local de Saúde da Cova da Beira, EPE;57;1862;17868;7278;138;823;22;28026
2026-05;Região de Saúde LVT;Unidade Local de Saúde da Lezíria, EPE;216;6520;25465;8557;645;542;74;41945
2026-05;Região de Saúde do Centro;Unidade Local de Saúde da Região de Aveiro, EPE;264;9275;42349;9832;956;3823;172;66499
2026-05;Região de Saúde Norte;ULS Matosinhos;147;5365;17465;5145;1146;70;3918;29338
2026-05;Região de Saúde LVT;Unidade Local de Saúde do Médio Tejo, EPE;266;5780;30352;20616;377;2215;147;59606
2026-05;Região de Saúde do Centro;Unidade Local de Saúde Castelo Branco, EPE;68;2045;14416;10377;458;767;33;28131
2026-05;Região de Saúde do Centro;Unidade Local de Saúde da Região de Leiria, EPE;403;6533;36447;17047;760;1148;258;62338
2026-05;Região de Saúde do Centro;Unidade Local de Saúde de Dão-Lafões, EPE;235;7185;38722;18018;1966;10;4692;66136
2026-05;Região de Saúde LVT;Unidade Local de Saúde de Loures-Odivelas, EPE;115;4430;21380;10001;613;95;6682;36634
2026-05;Região de Saúde Norte;Unidade Local de Saúde de Santo António, EPE;283;5843;34048;9241;1236;926;3218;51577
2026-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Alentejo Central, EPE;136;5430;16752;15073;794;1598;120;39783
2026-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Alto Alentejo, EPE;106;3383;16092;14160;361;1057;53;35159
2026-05;Região de Saúde do Alentejo;ULS Litoral Alentejano;94;2848;15276;15312;613;1005;0;35148
2026-05;Região de Saúde LVT;Unidade Local de Saúde do Oeste, EPE;196;7468;30379;17388;628;588;2807;56647
2026-05;Região de Saúde do Centro;Unidade Local de Saúde de Coimbra, EPE;606;14508;55576;23809;912;1909;227;97320
2026-05;Região de Saúde Norte;Unidade Local de Saúde de Entre Douro e Vouga, EPE;287;9593;46524;9236;401;75;64;66116
2026-05;Região de Saúde LVT;Unidade Local de Saúde de Lisboa Ocidental, EPE;150;4151;20545;23706;1198;1560;3582;51310
2026-05;Região de Saúde LVT;Unidade Local de Saúde do Arco Ribeirinho, EPE;163;4686;24173;20238;599;1886;396;51745
2026-05;Região de Saúde Norte;Unidade Local de Saúde do Tâmega e Sousa, EPE;410;11444;40877;16885;891;2800;4675;73307
2026-05;Região de Saúde Norte;Unidade Local de Saúde de Braga, EPE;358;7588;41827;22150;279;3040;414;75242
2026-05;Região de Saúde LVT;Unidade Local de Saúde de Santa Maria, EPE;421;10036;33604;24750;1014;1055;1372;70880
2026-05;Região de Saúde Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro, EPE;194;8002;54713;21840;502;2588;4;87839
2026-05;Região de Saúde Norte;Unidade Local de Saúde de Vila Nova de Gaia/Espinho, EPE;217;5881;44286;15862;557;1712;578;68515
2026-05;Região de Saúde do Algarve;Unidade Local de Saúde do Algarve, EPE;470;17357;65619;52161;2360;3838;1352;141805
2026-05;Região de Saúde Norte;Unidade Local de Saúde do Alto Ave, EPE;102;4785;24092;23129;645;4727;233;57480
2026-05;Região de Saúde do Alentejo;ULS Baixo Alentejo;125;4916;24531;14514;504;548;69;45138
2026-05;Região de Saúde do Centro;Unidade Local de Saúde do Baixo Mondego, EPE;60;2419;14336;6669;60;403;61;23947
2026-05;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;141;3679;28409;6090;285;1598;95;40202
2026-05;Região de Saúde do Centro;ULS Guarda;133;3664;20855;14758;753;514;42;40677
2026-05;Região de Saúde Norte;Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde, EPE;149;2805;14608;8166;451;6;78;26185
2026-05;Região de Saúde LVT;Unidade Local de Saúde de Almada-Seixal, EPE;323;7151;29652;18606;921;1943;2147;58596
2026-05;Região de Saúde LVT;Unidade Local de Saúde de Amadora/Sintra, EPE;329;11163;30139;42638;1462;2088;997;87819
2026-05;Região de Saúde Norte;Unidade Local de Saúde de Barcelos/Esposende, EPE;61;2133;11063;11625;591;231;6;25704
