Período;Região;Instituição Hospitalar;Sigla;Ponto ou Localização Geográfica;Grupo;Despesa;N.º doentes;Custo Médio
2016-12;Norte;Centro Hospitalar do Médio Ave, E.P.E.;CHMA;41.3423984, -8.4802503;Grupo B;190322.7;32.0;495.63203125
2016-12;Norte;Centro Hospitalar do Tâmega e Sousa, EPE;CHTS;41.2494561,-8.264901;Grupo C;2112022.4499999997;256.0;687.5073079427083
2016-12;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;ULSAM;41.7056054, -8.8252713;Grupo C;1662382.3900000001;203.0;682.4229844006569
2016-12;LVT;Hospital Garcia da Orta, E.P.E.;HGO;38.6658713, -9.1822554;Grupo D;9723679.479999999;1696.0;477.7751316823899
2016-12;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;HFF;38.7422257, -9.2264834;Grupo D;16679678.099999998;2355.0;590.2221549893842
2016-12;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;CHLO;38.708454, -9.216985;Grupo E;18276823.819999993;2427.0;627.5519784370276
2016-12;LVT;Centro Hospitalar Universitário de Lisboa Central E.P.E.;CHULC;38.7166948, -9.1371248;Grupo E;39318754.39;5275.0;621.1493584518167
2016-12;Norte;Centro Hospitalar Universitário de São João, E.P.E.;CHUSJ;41.1831056, -8.6010558;Grupo E;13875285.920000002;2273.0;508.6994398005573
2017-12;LVT;Centro Hospitalar do Oeste, E.P.E.;CHO;39.4054629, -9.1258493;Grupo B;2302388.96;400.0;479.66436666666664
2017-12;Algarve;Centro Hospitalar Universitário do Algarve, EPE;CHUA;37.0238973, -7.9281554;Grupo D;10331368.78;1787.0;481.78365883230737
2017-12;Alentejo;Hospital Espírito Santo, E.P.E. - Évora;HES-E;38.5684861, -7.9032848;Grupo D;938977.6499999999;172.0;454.9310319767441
2018-12;Norte;Centro Hospitalar do Médio Ave, E.P.E.;CHMA;41.3423984, -8.4802503;Grupo B;85932.11;32.0;223.78153645833333
2018-12;LVT;Centro Hospitalar do Oeste, E.P.E.;CHO;39.4054629, -9.1258493;Grupo B;2156297.68;409.0;439.34345558272213
2018-12;LVT;Centro Hospitalar Barreiro Montijo, E.P.E;CHBM;38.6554005, -9.0592392;Grupo C;4774130.87;779.0;510.7114751818571
2018-12;LVT;Centro Hospitalar de Setúbal, E.P.E.;CHS;38.5283754, -8.8818638;Grupo C;7639148.059999999;1178.0;540.4037959818901
2018-12;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;CHBV;40.6362453, -8.6543716;Grupo C;3123420.8099999996;622.0;418.46473874598064
2018-12;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;CHUCB;40.2804158, -7.4922407;Grupo C;970336.7600000001;157.0;515.0407430997877
2018-12;Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;ULSM;41.1794456, -8.6745115;Grupo C;4877396.949999999;867.0;468.80016820453665
2018-12;Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;ULSNA;39.3003425, -7.4263845;Grupo C;646927.83;122.0;441.89059426229505
2018-12;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;CHVNGE;41.1094138, -8.5972617;Grupo D;6512431.1;1238.0;438.37042945611194
2018-12;Alentejo;Hospital Espírito Santo, E.P.E. - Évora;HES-E;38.5684861, -7.9032848;Grupo D;839664.4600000001;136.0;514.5002818627452
2018-12;Norte;Centro Hospitalar Universitário de São João, E.P.E.;CHUSJ;41.1831056, -8.6010558;Grupo E;13089681.690000001;2479.0;440.0188816054861
2018-12;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;CHUP;41.1472498, -8.6172617;Grupo E;14637351.68;3024.0;403.36617283950613
2019-12;Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;ULSBA;38.014123,-7.8721227;Grupo C;1159639.64;198.0;488.0638215488215
2019-12;LVT;Hospital Garcia da Orta, EPE;HGO;38.6658713, -9.1822554;Grupo D;6940114.39;1930.0;299.6595159758204
2020-12;Centro;Centro Hospitalar Universitário Cova da Beira, EPE;CHUCB;40.2804158, -7.4922407;Grupo C;668070.56;202.0;275.6066666666667
2020-12;LVT;Centro Hospitalar de Setúbal, E.P.E.;CHS;38.5283754, -8.8818638;Grupo C;7272514.66;1277.0;474.58331114591493
2020-12;LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;CHULN;38.7500861, -9.1616116;Grupo E;21453718.93;4652.0;384.30995503725995
2020-12;Norte;Centro Hospitalar do Tâmega e Sousa, EPE;CHTS;41.2494561,-8.264901;Grupo C;1509589.87;346.0;363.5813752408478
2020-12;Centro;Centro Hospitalar Tondela-Viseu, EPE.;CHTV;40.516364, -8.0827433;Grupo D;1581697.45;320.0;411.90037760416664
2020-12;Centro;Centro Hospitalar e Universitário de Coimbra, EPE;CHUC;40.2191523, -8.4098211;Grupo E;11902864.72;3534.0;280.6749839652896
2021-12;Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;ULSBA;38.014123,-7.8721227;Grupo C;1199293.26;228.0;438.3381798245614
2021-12;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, EPE;CHVNGE;41.1094138, -8.5972617;Grupo D;6906156.28;1395.0;412.55413859020314
2021-12;LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;CHULN;38.7500861, -9.1616116;Grupo E;21695059.72;4642.0;389.4704100244147
2021-12;LVT;Centro Hospitalar Barreiro Montijo, EPE;CHBM;38.6554005, -9.0592392;Grupo C;5043857.24;899.0;467.5433110863923
2021-12;LVT;Centro Hospitalar do Oeste, EPE;CHO;39.4054629, -9.1258493;Grupo B;2432082.47;477.0;424.8921156533893
2021-12;Algarve;Centro Hospitalar Universitário do Algarve, EPE;CHUA;37.0238973, -7.9281554;Grupo D;9395336.26;2088.0;374.97350973818646
2021-12;Norte;Hospital de Braga, EPE;HdB;41.567781, -8.399268;Grupo D;4454869.22;905.0;410.2089521178637
2021-12;Norte;Centro Hospitalar Universitário de Santo António, EPE;CHUdSA;41.1472498, -8.6172617;Grupo E;13632445.71;3185.0;356.68356122448984
2022-12;Centro;Centro Hospitalar Universitário Cova da Beira, EPE;CHUCB;40.2804158, -7.4922407;Grupo C;906867.76;191.0;395.6665619546248
2022-12;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, EPE;CHVNGE;41.1094138, -8.5972617;Grupo D;7243524.11;1573.0;383.7425360245815
2022-12;Norte;Centro Hospitalar Universitário de São João, EPE;CHUSJ;41.1831056, -8.6010558;Grupo E;11846764.66;3139.0;314.5047430179463
2022-12;Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;ULSNA;39.3003425, -7.4263845;Grupo C;403657.07;144.0;233.5978414351852
2022-12;Centro;Centro Hospitalar do Baixo Vouga, EPE;CHBV;40.6362453, -8.6543716;Grupo C;3173003.83;799.0;330.93490091781393
2023-12;LVT;Centro Hospitalar de Setúbal, E.P.E.;CHS;38.5283754, -8.8818638;Grupo C;7551736.35;1415.0;444.74301236749113
2023-12;LVT;Hospital Prof. Doutor Fernando Fonseca, EPE;HFF;38.7422257, -9.2264834;Grupo D;17751071.99;3418.0;432.7840840159937
2023-12;Centro;Centro Hospitalar do Baixo Vouga, EPE;CHBV;40.6362453, -8.6543716;Grupo C;3715781.55;844.0;366.8820645734597
